province,total_disasters,total_death,total_injured,total_missing,total_damaged_house,total_flooded_house,total_damaged_facility,BANJIR,CUACA EKSTREM,ERUPSI GUNUNG API,GELOMBANG PASANG / ABRASI,GELOMBANG PASANG DAN ABRASI,GEMPA BUMI,GEMPA BUMI DAN TSUNAMI,KEBAKARAN HUTAN DAN LAHAN,KEKERINGAN,PUTING BELIUNG,TANAH LONGSOR,TSUNAMI,cluster,PCA1,PCA2
ACEH,1548,182.92576037143365,641.8296644434173,27.425989538466588,5939.0,353395.93711125886,525,566,365,0,18,0,5,0,478,2,53,61,0,0,1.249805184989862,-0.5652753665677184
BALI,513,152.18331098414106,1100.313695973637,3.168309115730279,2897.0,11128.68658324762,1296,69,116,27,13,0,35,0,33,13,6,201,0,0,0.27267085971035077,-0.21315425520233117
BANTEN,544,464.2108342425438,10966.1697973859,19.408681791439108,16739.0,110852.83369177712,521,244,156,0,0,0,14,0,44,16,24,44,2,0,0.19115973993507018,0.06310598286931707
BENGKULU,208,80.11452209290512,228.55031847317687,7.547595731919185,3191.0,51343.11594104922,275,122,29,0,2,0,3,0,16,2,6,28,0,0,-1.5356689558025076,-0.260034440372423
DAERAH ISTIMEWA YOGYAKARTA,213,52.09475969341096,253.88957823848187,1.30462103935995,977.0,846.9464308039369,79,6,62,0,0,0,7,0,113,1,0,24,0,0,-1.7435597335494946,-0.44981307154652017
DI YOGYAKARTA,248,38.7704564394671,143.27334463134352,3.013833042449841,2119.0,3897.9517533213416,588,29,131,9,7,0,2,0,1,5,18,46,0,0,-1.2375280180645312,-0.22214503656090928
DKI JAKARTA,202,53.32035299808025,88.25799736529045,2.892928143738128,558.0,30450.284829978216,6,150,20,0,0,0,1,0,0,0,4,27,0,0,-1.7592707423816625,-0.38129866406786234
GORONTALO,187,25.69919353101105,108.89967703586323,6.05774803592768,2329.0,62186.64296058001,70,125,20,0,0,0,0,0,7,25,1,9,0,0,-1.4946698886362335,-0.474948765434376
JAMBI,380,32.3174002546495,88.04569792140491,9.373582597696208,4095.0,130496.6110945934,203,136,49,0,4,0,0,0,168,0,1,22,0,0,-1.3313912472846923,-0.41353187633574406
JAWA BARAT,6159,1917.4930778824616,13979.58773417767,60.5519434668937,130493.0,1100686.2864303722,3833,1066,1909,1,8,0,85,0,267,122,355,2346,0,2,13.555033678421287,-1.760051342794825
JAWA TENGAH,4500,737.7053430038944,3088.452376925986,51.78625690810153,32538.0,846370.8617901999,1442,950,1384,16,21,0,19,0,386,111,171,1442,0,2,7.989615020598924,-2.0705060895300496
JAWA TIMUR,2387,591.8840739269345,3282.4015804469554,36.581151944318975,51649.276731752674,443990.2450591859,2474,724,708,2,10,0,54,0,371,54,158,306,0,2,4.8911986453257645,-0.8217027443815403
KALIMANTAN BARAT,538,66.72477110000216,203.40158119762248,8.313379935268232,2547.0,490045.17296992056,555,266,65,0,2,0,0,0,175,0,4,26,0,0,-0.6042804889332326,-0.7269681461547364
KALIMANTAN SELATAN,1403,142.46735942395142,1188.6164887493726,12.172812265626332,24337.0,413794.3318969996,1543,275,202,0,5,0,3,0,851,4,20,43,0,0,0.8210313095944899,-1.0491032283304107
KALIMANTAN TENGAH,653,60.62422979364016,263.15021108928784,17.62384337923724,328.0,351156.494626953,570,279,25,0,10,0,0,0,322,0,4,13,0,0,-0.4520224619353913,-0.44501248393080484
KALIMANTAN TIMUR,632,44.16200061330122,244.5214411155932,7.887297837785246,1123.0,138808.10875165358,100,150,28,0,3,0,0,0,330,1,4,116,0,0,-1.0948152793334067,-0.6909175224623231
